Concept,Evaluation_mean,Evaluation_std,Potency_mean,Potency_std,Activity_mean,Activity_std
Linux,1.645161290322581,1.9788948870481806,1.4838709677419357,1.9201977005394855,1.1806451612903224,2.0848794124390193
Mac,1.1511627906976747,1.9217690606148279,0.9046511627906977,1.7066155121232134,1.3069767441860465,1.54940278799903
"Obedience to the chain of command, complying with authority",1.5421052631578946,1.7248389061235727,1.1526315789473685,1.9834495259926999,1.5947368421052628,1.721221623765035
Objective C,1.06,1.3167492439445603,1.0342857142857145,1.2256643346465173,0.9342857142857146,1.537334029535334
PHP,0.9600000000000003,1.6048497927042444,1.1685714285714286,1.7427025692578637,0.7857142857142858,1.8000226755941329
Passive non-cooperation with authority,-0.35526315789473684,2.3448372593536604,-0.07368421052631571,2.060235578063614,0.5236842105263159,2.090257376563233
"Passive rejection of popularity, going it alone",1.2555555555555555,1.9910137625011874,0.3666666666666666,2.2394195676558692,0.38333333333333336,2.3051271355634837
"Popularity and social success, being liked and admired",1.7549999999999997,1.8005485275326516,1.7325,1.6482395912002599,1.8219512195121956,1.8213519764204578
"Protecting less able members, providing help when needed",2.1590909090909083,1.6506635279924944,1.7363636363636366,1.6797038306432734,1.4181818181818182,1.6569787302185548
Python,0.6944444444444444,2.7489335754923463,1.711111111111111,2.360293976249778,1.2222222222222223,2.3033925596716287
"Quiet contentment, taking it easy",1.9916666666666663,1.3200115740233325,1.2888888888888888,1.9647982336019725,-0.2722222222222223,2.138095090795531
R,0.38387096774193546,1.5067796838319598,0.567741935483871,1.5966471112674945,0.5193548387096775,1.5557218747285275
"Rejection of established procedures, rejection of conformity",-0.4166666666666667,2.0608115984835793,-0.40555555555555556,2.120134225892896,0.41944444444444434,2.2225885114789072
Responsible idealism and collaborative work,2.3000000000000003,1.17983049630021,1.8500000000000003,1.6428633540255257,1.5824999999999998,1.7268305504594248
Restraining individual desires for organizational goals,1.4500000000000004,1.7593401540855533,1.0138888888888893,2.0858188876551016,1.0444444444444445,1.8808160823968059
Ruby,1.3093750000000002,1.849384927313673,0.9656250000000002,1.8482439934637958,0.24687499999999998,1.761743521167312
"Rugged, self-oriented individualism and resistance to authority",0.38863636363636367,1.9235639164051366,0.7136363636363637,1.913895469394448,1.3227272727272728,1.8305319192622718
Scala,0.7161290322580643,1.8173175507117267,1.2161290322580647,1.6568716683214062,1.1290322580645165,1.5686841719152653
Scenario 1: Community,0.6228571428571429,1.5001115604772703,0.6457142857142857,1.7778547035511016,0.945714285714286,1.6510330717710147
Scenario 1: Contributors to this project,1.0571428571428574,1.6862952993870006,0.23999999999999985,2.001884826143317,0.8142857142857145,1.6935411517447874
Scenario 1: Owners of this project,0.8400000000000001,1.6360579801112531,1.2342857142857144,1.8507053261072204,0.9657142857142856,1.6642360507611476
Scenario 2: Community,-0.1974358974358975,2.33089475276233,0.7666666666666665,1.8381056766770727,0.33076923076923076,2.2280443127474094
Scenario 2: Contributors to this project,0.6564102564102564,2.375709866576981,0.5282051282051283,2.1803256305786793,1.0179487179487177,2.010851560252559
Scenario 2: Owners of this project,-0.08974358974358972,2.5659301179399288,0.341025641025641,2.370839724515881,0.8282051282051281,2.2236432011740437
Scenario 3: Community,1.9575,1.365080125853424,1.295,1.5874429123593705,1.5824999999999998,1.641628383648382
Scenario 3: Contributors to this project,2.27,1.073824939177704,1.5650000000000002,1.6145510211820497,1.7449999999999999,1.6718178728557724
Scenario 3: Owners of this project,2.1975000000000002,1.29450521435798,1.6849999999999998,1.6657655897514512,1.69,1.601374409686879
Scenario 4: Community,2.0749999999999997,1.580501854194139,2.063888888888889,1.3534221600113825,1.927777777777778,1.4285989856248653
Scenario 4: Contributors to this project,1.9685714285714286,1.4547992357457886,2.0742857142857147,1.4444658641356194,1.8885714285714283,1.5439784285264813
Scenario 4: Owners of this project,2.077777777777778,1.4666877102867444,2.4916666666666667,1.1872879927708262,1.5694444444444446,1.670964366340661
Scenario 5: Community,2.283333333333333,1.2911020271242875,1.9916666666666663,1.5397285114230006,1.5,1.3842366528564076
Scenario 5: Contributors to this project,1.9361111111111111,1.3356548077374253,1.8000000000000003,1.4288690166235203,1.4222222222222227,1.6531302145242035
Scenario 5: Owners of this project,2.022222222222222,1.3689231597441658,1.7416666666666665,1.753943968444957,1.1583333333333337,1.9114239892464118
Scenario 6: Community,1.9421052631578946,1.722243270753731,1.2710526315789477,1.6965767227500455,1.928947368421053,1.3178746635431096
Scenario 6: Contributors to this project,1.4789473684210526,1.6502245293383313,1.1710526315789473,1.6789576802191173,1.7648648648648648,1.5176824822319162
Scenario 6: Owners of this project,1.3815789473684215,1.6355998840209722,1.3710526315789473,1.4918917511769803,1.457894736842105,1.6210184548687072
Scenario 7: Community,1.904545454545454,1.382020021144041,1.8863636363636365,1.2920369592748622,1.4590909090909088,1.5794587942218143
Scenario 7: Contributors to this project,1.9522727272727274,1.1670648179326624,1.2681818181818185,1.6142508433090461,1.4886363636363635,1.2107878556563734
Scenario 7: Owners of this project,1.7931818181818187,1.4982410485864488,2.0136363636363637,1.3669127306536948,1.5454545454545447,1.4556245996844832
Scenario 8: Community,1.9527777777777777,1.7077415415804307,1.8861111111111108,1.8729288972945521,1.677777777777778,1.6492609643094878
Scenario 8: Contributors to this project,1.6111111111111112,1.935311886690471,1.3055555555555554,2.241768206429475,1.772222222222222,1.4662141557826007
Scenario 8: Owners of this project,1.6416666666666668,2.086514238309115,1.7000000000000002,1.8763143541409995,1.6694444444444447,1.5774133968910489
"Self-protection, putting self-interest first, self-sufficiency",0.763888888888889,2.058202125072832,1.188888888888889,1.814873392856583,1.213888888888889,1.6595100980205268
